batting_team,bowling_team,current_score,balls_left,wickets_left,current_run_rate,last_five_overs,runs_x
South Africa,Australia,50,63,7,5.2631578947368425,26.0,101
India,South Africa,96,49,6,8.112676056338028,45.0,188
Sri Lanka,Pakistan,104,46,9,8.432432432432432,47.0,211
Zimbabwe,India,164,2,3,8.338983050847459,53.0,170
Pakistan,Zimbabwe,178,8,7,9.535714285714286,41.0,198
Zimbabwe,Afghanistan,75,48,6,6.25,16.0,120
England,South Africa,141,35,7,9.952941176470588,64.0,202
Bangladesh,Sri Lanka,90,65,8,9.818181818181818,46.0,176
Scotland,Netherlands,154,2,6,7.830508474576271,57.0,165
United Arab Emirates,Pakistan,129,2,4,6.559322033898305,49.0,129
Sri Lanka,West Indies,199,6,7,10.473684210526317,71.0,215
India,West Indies,75,62,9,7.758620689655173,40.0,167
West Indies,Ireland,92,27,5,5.935483870967742,20.0,138
New Zealand,West Indies,73,60,7,7.3,36.0,155
Scotland,Netherlands,232,10,8,12.654545454545454,48.0,252
New Zealand,Sri Lanka,45,79,8,6.585365853658536,34.0,164
West Indies,South Africa,155,32,8,10.568181818181818,51.0,205
South Africa,West Indies,141,15,6,8.057142857142857,45.0,165
Australia,Pakistan,100,49,8,8.450704225352112,44.0,191
New Zealand,South Africa,51,60,4,5.1,32.0,86
Afghanistan,West Indies,69,33,5,4.758620689655173,19.0,123
India,Zimbabwe,53,59,7,5.213114754098361,25.0,138
India,Australia,61,32,3,4.159090909090909,18.0,74
South Africa,Australia,133,12,6,7.388888888888889,33.0,145
England,Zimbabwe,181,4,2,9.362068965517242,30.0,188
Bangladesh,Pakistan,101,56,8,9.46875,40.0,175
West Indies,Australia,139,31,5,9.370786516853933,28.0,160
Australia,India,51,89,9,9.870967741935484,47.0,194
England,New Zealand,173,7,2,9.1858407079646,54.0,184
Pakistan,Bangladesh,198,2,5,10.067796610169491,60.0,201
India,Bangladesh,57,68,8,6.576923076923077,32.0,174
Bangladesh,West Indies,98,32,5,6.681818181818182,25.0,129
Netherlands,Ireland,105,25,6,6.631578947368421,34.0,158
West Indies,England,29,78,8,4.142857142857143,16.0,113
Pakistan,Zimbabwe,112,52,9,9.882352941176473,38.0,198
South Africa,Australia,57,50,7,4.885714285714286,15.0,101
England,South Africa,95,21,2,5.757575757575758,24.0,111
South Africa,Sri Lanka,105,28,6,6.8478260869565215,45.0,145
Sri Lanka,England,106,35,5,7.482352941176471,30.0,140
Bangladesh,Pakistan,119,40,8,8.925,45.0,175
Australia,Sri Lanka,159,38,8,11.634146341463415,61.0,263
Netherlands,Ireland,84,35,7,5.929411764705883,29.0,114
Sri Lanka,West Indies,97,31,7,6.53932584269663,25.0,158
New Zealand,Sri Lanka,105,48,9,8.75,38.0,182
England,South Africa,61,78,7,8.714285714285714,52.0,202
Pakistan,Australia,45,76,9,6.136363636363637,29.0,151
India,Australia,48,53,5,4.298507462686567,18.0,74
India,Australia,145,20,7,8.7,58.0,188
Afghanistan,Netherlands,149,5,6,7.773913043478261,60.0,162
Bangladesh,South Africa,121,23,3,7.484536082474227,19.0,144
New Zealand,Sri Lanka,156,14,7,8.830188679245284,47.0,182
Sri Lanka,Australia,126,14,6,7.132075471698113,46.0,161
Netherlands,Scotland,93,61,9,9.457627118644067,54.0,191
New Zealand,Zimbabwe,46,91,10,9.517241379310343,44.0,187
Australia,Sri Lanka,124,52,9,10.941176470588236,49.0,263
Pakistan,South Africa,162,1,1,8.168067226890756,39.0,168
West Indies,New Zealand,84,57,9,8.0,43.0,177
United Arab Emirates,Netherlands,77,8,3,4.125,32.0,80
England,West Indies,153,1,1,7.714285714285714,39.0,155
Pakistan,England,67,67,8,7.584905660377358,42.0,173
England,Pakistan,59,77,9,8.232558139534884,46.0,135
Australia,India,60,73,10,7.659574468085107,40.0,164
New Zealand,Australia,105,10,3,5.727272727272728,38.0,117
Afghanistan,Ireland,106,20,4,6.36,40.0,139
Sri Lanka,Bangladesh,127,24,4,7.9375,31.0,168
Australia,West Indies,113,28,6,7.369565217391305,46.0,169
England,South Africa,169,10,4,9.21818181818182,46.0,202
Pakistan,England,79,53,6,7.074626865671642,34.0,147
India,South Africa,153,12,5,8.5,44.0,168
India,Bangladesh,28,89,10,5.419354838709677,26.0,146
New Zealand,West Indies,222,7,8,11.787610619469026,63.0,238
Bangladesh,United Arab Emirates,83,45,6,6.64,28.0,133
India,Sri Lanka,81,44,8,6.394736842105263,36.0,130
Australia,Sri Lanka,180,26,9,11.48936170212766,57.0,233
England,Australia,121,23,5,7.484536082474227,46.0,135
Zimbabwe,Ireland,101,45,7,8.08,31.0,163
West Indies,India,122,18,3,7.176470588235294,30.0,143
England,Australia,157,12,5,8.722222222222221,48.0,179
Netherlands,United Arab Emirates,97,36,8,6.928571428571429,40.0,157
United Arab Emirates,Afghanistan,70,79,8,10.24390243902439,42.0,146
West Indies,Pakistan,50,81,9,7.6923076923076925,46.0,150
Australia,England,137,29,6,9.032967032967033,50.0,195
Zimbabwe,India,63,72,8,7.875,41.0,145
Netherlands,England,83,54,9,7.545454545454546,36.0,133
United Arab Emirates,Afghanistan,78,67,8,8.830188679245284,45.0,164
New Zealand,India,78,35,6,5.505882352941176,24.0,126
Sri Lanka,Pakistan,121,19,6,7.188118811881188,33.0,147
Namibia,Oman,53,65,7,5.781818181818182,27.0,161
India,England,56,57,7,5.333333333333333,27.0,148
India,South Africa,128,48,7,10.666666666666666,44.0,203
Ireland,India,34,72,6,4.25,25.0,112
Zimbabwe,South Africa,43,66,7,4.777777777777778,32.0,93
New Zealand,Sri Lanka,73,54,8,6.636363636363637,35.0,141
South Africa,Australia,27,90,8,5.4,26.0,156
Sri Lanka,India,39,81,7,6.0,31.0,135
Bangladesh,Australia,41,76,9,5.590909090909091,29.0,123
United Arab Emirates,Scotland,52,64,7,5.571428571428571,23.0,148
India,Pakistan,28,90,7,5.6,28.0,141
Ireland,Afghanistan,126,9,2,6.8108108108108105,21.0,142
Pakistan,Zimbabwe,59,66,7,6.555555555555555,37.0,141
Namibia,Oman,127,20,5,7.62,59.0,161
West Indies,Afghanistan,78,58,8,7.548387096774194,26.0,112
New Zealand,Sri Lanka,100,34,5,6.976744186046512,45.0,179
Pakistan,Sri Lanka,56,74,10,7.304347826086956,39.0,180
New Zealand,India,69,70,9,8.28,35.0,190
Sri Lanka,Bangladesh,197,7,6,10.460176991150442,55.0,214
Ireland,Afghanistan,65,71,8,7.959183673469388,47.0,142
India,Bangladesh,154,10,6,8.4,67.0,166
Australia,West Indies,81,51,6,7.043478260869565,44.0,169
Sri Lanka,Australia,80,64,7,8.571428571428571,52.0,157
Pakistan,Sri Lanka,175,0,5,8.75,58.0,175
South Africa,England,45,80,7,6.75,33.0,142
United Arab Emirates,Scotland,66,58,5,6.387096774193548,26.0,109
South Africa,England,151,37,7,10.91566265060241,37.0,229
United Arab Emirates,Afghanistan,134,17,6,7.805825242718447,37.0,164
United Arab Emirates,Zimbabwe,100,9,2,5.405405405405405,25.0,116
New Zealand,Pakistan,79,48,6,6.583333333333333,36.0,135
Sri Lanka,England,83,54,9,7.545454545454546,41.0,189
South Africa,Australia,66,35,6,4.658823529411765,18.0,101
Australia,Zimbabwe,164,29,10,10.813186813186814,58.0,229
Sri Lanka,New Zealand,82,56,8,7.6875,31.0,158
England,Pakistan,83,33,6,5.724137931034483,21.0,129
Ireland,Afghanistan,133,15,6,7.6,31.0,165
Scotland,United Arab Emirates,88,50,9,7.542857142857143,39.0,198
Scotland,Netherlands,65,60,7,6.5,32.0,130
Pakistan,Sri Lanka,102,38,8,7.463414634146342,38.0,180
Sri Lanka,West Indies,94,35,6,6.635294117647059,31.0,160
Afghanistan,Scotland,106,23,6,6.556701030927835,35.0,132
England,Australia,137,10,5,7.472727272727273,43.0,145
Zimbabwe,Australia,49,77,7,6.837209302325581,40.0,151
Zimbabwe,Australia,116,21,6,7.03030303030303,46.0,151
Australia,England,125,56,8,11.71875,73.0,248
South Africa,Bangladesh,95,61,10,9.66101694915254,55.0,169
Australia,England,73,83,9,11.83783783783784,63.0,221
New Zealand,England,112,40,8,8.4,37.0,192
Pakistan,New Zealand,53,53,5,4.746268656716418,23.0,153
West Indies,England,63,54,7,5.727272727272728,34.0,172
New Zealand,South Africa,171,2,3,8.694915254237289,38.0,177
New Zealand,Bangladesh,123,12,5,6.833333333333333,45.0,145
South Africa,England,118,46,7,9.567567567567568,34.0,222
Ireland,Afghanistan,52,81,8,8.0,43.0,142
Sri Lanka,Pakistan,80,44,9,6.315789473684211,32.0,124
Zimbabwe,Bangladesh,56,60,6,5.6,35.0,131
England,West Indies,55,77,8,7.674418604651163,33.0,121
Sri Lanka,Pakistan,67,81,10,10.307692307692308,46.0,150
Australia,India,159,18,7,9.352941176470589,44.0,194
England,Australia,49,70,8,5.88,32.0,182
Sri Lanka,Zimbabwe,96,51,7,8.347826086956522,36.0,173
South Africa,Sri Lanka,154,20,8,9.24,62.0,198
Pakistan,Sri Lanka,167,4,6,8.637931034482758,57.0,175
Bangladesh,West Indies,47,77,8,6.558139534883721,34.0,171
Pakistan,Scotland,89,45,7,7.12,28.0,166
South Africa,Pakistan,84,58,8,8.129032258064516,29.0,153
West Indies,New Zealand,119,24,6,7.4375,47.0,159
Papua New Guinea,United Arab Emirates,47,79,10,6.878048780487805,42.0,128
New Zealand,South Africa,126,25,5,7.957894736842105,31.0,151
New Zealand,Sri Lanka,62,45,4,4.96,29.0,81
Pakistan,Bangladesh,93,52,10,8.205882352941176,45.0,172
Netherlands,Namibia,78,36,6,5.571428571428571,36.0,140
Pakistan,Australia,89,45,9,7.12,31.0,147
Pakistan,Bangladesh,147,19,9,8.732673267326733,47.0,172
Pakistan,India,52,56,8,4.875,25.0,118
United Arab Emirates,Zimbabwe,38,78,8,5.428571428571429,30.0,116
Australia,Pakistan,82,68,10,9.461538461538462,55.0,168
England,Australia,74,62,8,7.655172413793103,26.0,162
South Africa,England,69,55,7,6.369230769230769,25.0,191
Sri Lanka,India,96,57,8,9.142857142857142,43.0,152
India,South Africa,62,65,8,6.763636363636364,38.0,186
South Africa,India,115,26,7,7.340425531914893,30.0,149
United Arab Emirates,Oman,31,81,7,4.769230769230769,19.0,108
India,Zimbabwe,75,45,7,6.0,39.0,138
Australia,Sri Lanka,129,50,9,11.057142857142855,53.0,263
Ireland,United Arab Emirates,33,71,6,4.040816326530612,17.0,134
Ireland,Australia,62,48,6,5.166666666666667,29.0,123
India,England,105,37,8,7.590361445783133,36.0,170
India,Bangladesh,147,13,6,8.242990654205608,66.0,166
Afghanistan,Ireland,131,5,2,6.834782608695652,44.0,139
England,Pakistan,113,24,6,7.0625,36.0,160
Papua New Guinea,Netherlands,30,86,8,5.294117647058823,25.0,128
Australia,Sri Lanka,61,82,10,9.63157894736842,49.0,233
New Zealand,Australia,82,74,10,10.695652173913045,51.0,243
Afghanistan,Pakistan,54,63,7,5.684210526315789,47.0,137
West Indies,New Zealand,87,57,7,8.285714285714286,34.0,139
Bangladesh,Australia,64,61,8,6.508474576271187,44.0,153
Afghanistan,United Arab Emirates,48,78,9,6.857142857142857,41.0,161
Sri Lanka,West Indies,82,40,7,6.15,21.0,158
Zimbabwe,Scotland,54,66,7,6.0,36.0,147
Pakistan,New Zealand,31,84,8,5.166666666666667,26.0,148
Sri Lanka,West Indies,74,79,10,10.829268292682928,51.0,192
Pakistan,Bangladesh,46,48,6,3.8333333333333335,21.0,129
Sri Lanka,India,64,77,9,8.930232558139535,49.0,171
South Africa,Sri Lanka,59,42,6,4.538461538461538,21.0,115
Zimbabwe,India,44,91,8,9.10344827586207,43.0,111
Pakistan,New Zealand,103,41,7,7.822784810126582,35.0,153
West Indies,Sri Lanka,97,50,6,8.314285714285715,31.0,162
West Indies,South Africa,64,79,10,9.365853658536585,50.0,205
Scotland,Papua New Guinea,82,44,6,6.473684210526316,26.0,146
New Zealand,Bangladesh,70,81,10,10.76923076923077,55.0,204
Pakistan,New Zealand,158,3,3,8.102564102564102,43.0,161
Australia,Sri Lanka,77,44,5,6.078947368421052,26.0,168
West Indies,Bangladesh,185,14,3,10.471698113207546,33.0,190
Bangladesh,India,122,13,5,6.841121495327103,40.0,138
Australia,Pakistan,47,68,7,5.423076923076923,28.0,89
England,Pakistan,62,66,9,6.888888888888889,43.0,131
Sri Lanka,Ireland,111,24,6,6.9375,37.0,144
New Zealand,Australia,155,43,8,12.07792207792208,72.0,243
Oman,Netherlands,29,87,9,5.2727272727272725,24.0,166
South Africa,Pakistan,90,46,8,7.297297297297297,41.0,188
New Zealand,Pakistan,177,6,5,9.31578947368421,76.0,185
Pakistan,New Zealand,56,72,8,7.0,44.0,161
Australia,Sri Lanka,122,25,7,7.705263157894737,44.0,168
Australia,India,85,54,7,7.727272727272727,23.0,160
India,Zimbabwe,32,79,7,4.682926829268292,28.0,138
South Africa,Australia,112,36,8,8.0,34.0,145
Australia,India,71,72,10,8.875,55.0,184
Afghanistan,Zimbabwe,101,34,6,7.046511627906977,30.0,186
Bangladesh,Pakistan,61,85,8,10.457142857142856,48.0,175
New Zealand,Ireland,152,26,7,9.702127659574469,53.0,198
South Africa,West Indies,59,81,9,9.076923076923077,57.0,183
Afghanistan,Zimbabwe,81,48,7,6.75,21.0,197
Bangladesh,Pakistan,118,12,5,6.555555555555555,38.0,136
New Zealand,Pakistan,62,71,8,7.591836734693878,26.0,153
New Zealand,England,125,19,7,7.425742574257426,49.0,149
Afghanistan,Scotland,53,90,9,10.6,53.0,210
Sri Lanka,India,91,74,9,11.869565217391305,53.0,206
India,South Africa,188,8,5,10.071428571428571,38.0,203
England,Pakistan,34,87,7,6.181818181818182,31.0,160
Bangladesh,Sri Lanka,174,9,6,9.405405405405403,43.0,193
South Africa,Australia,75,71,8,9.183673469387756,43.0,178
Sri Lanka,New Zealand,98,28,3,6.391304347826087,32.0,142
Sri Lanka,West Indies,159,26,8,10.148936170212766,50.0,192
New Zealand,Australia,95,48,6,7.916666666666667,33.0,214
India,New Zealand,173,13,8,9.700934579439252,60.0,202
India,Pakistan,41,75,6,5.466666666666667,31.0,141
Pakistan,Bangladesh,99,32,7,6.75,44.0,141
Australia,England,50,78,9,7.142857142857143,43.0,195
Pakistan,Sri Lanka,70,61,9,7.11864406779661,33.0,180
West Indies,Australia,55,64,6,5.892857142857143,26.0,138
Sri Lanka,Ireland,83,48,7,6.916666666666667,53.0,144
India,Bangladesh,165,5,5,8.608695652173912,44.0,174
Afghanistan,Oman,103,38,8,7.536585365853658,45.0,160
Sri Lanka,Pakistan,65,60,6,6.5,23.0,172
Australia,Zimbabwe,194,15,10,11.085714285714284,73.0,229
Australia,England,155,0,4,7.68595041322314,52.0,157
Pakistan,Zimbabwe,128,21,6,7.757575757575758,58.0,161
Pakistan,Sri Lanka,93,51,7,8.08695652173913,38.0,172
Ireland,Oman,175,5,7,9.130434782608695,58.0,183
West Indies,South Africa,48,89,10,9.290322580645162,44.0,205
Sri Lanka,Australia,43,90,9,8.6,43.0,128
West Indies,New Zealand,116,24,4,7.25,27.0,139
South Africa,England,89,45,7,7.12,32.0,191
England,India,101,47,8,8.301369863013699,41.0,159
Afghanistan,Ireland,57,61,8,5.796610169491525,34.0,139
Zimbabwe,Pakistan,78,58,9,7.548387096774194,40.0,162
New Zealand,South Africa,115,38,6,8.414634146341463,36.0,177
Zimbabwe,Pakistan,64,62,9,6.620689655172414,27.0,162
South Africa,West Indies,89,69,10,10.470588235294118,57.0,195
Zimbabwe,Bangladesh,101,18,5,5.941176470588236,30.0,119
England,Pakistan,39,78,9,5.571428571428571,32.0,131
Afghanistan,Netherlands,55,47,5,4.52054794520548,23.0,90
United Arab Emirates,Afghanistan,67,77,9,9.348837209302326,54.0,179
New Zealand,West Indies,131,48,9,10.916666666666666,67.0,191
Ireland,Afghanistan,162,4,4,8.379310344827585,41.0,172
New Zealand,Australia,76,70,6,9.12,32.0,150
Afghanistan,West Indies,42,67,6,4.754716981132075,16.0,110
Bangladesh,Sri Lanka,102,36,5,7.285714285714286,31.0,155
New Zealand,England,100,53,9,8.955223880597014,49.0,196
Zimbabwe,Pakistan,132,24,9,8.25,43.0,175
Bangladesh,Australia,46,76,8,6.2727272727272725,40.0,156
Bangladesh,United Arab Emirates,113,12,4,6.277777777777778,30.0,133
Pakistan,West Indies,121,19,5,7.188118811881188,29.0,137
England,Australia,123,20,5,7.38,39.0,135
Pakistan,India,35,83,9,5.675675675675675,30.0,130
Australia,Bangladesh,67,41,4,5.0886075949367084,20.0,141
South Africa,Sri Lanka,65,65,6,7.090909090909091,30.0,98
Pakistan,Australia,140,10,6,7.636363636363637,43.0,150
Australia,Pakistan,110,38,6,8.048780487804878,30.0,164
South Africa,West Indies,126,58,8,12.193548387096774,69.0,231
Australia,Zimbabwe,222,5,10,11.582608695652176,72.0,229
Oman,Netherlands,88,38,8,6.439024390243903,48.0,166
Zimbabwe,India,48,57,8,4.571428571428571,27.0,140
Netherlands,England,67,69,9,7.882352941176471,33.0,133
South Africa,New Zealand,99,58,9,9.580645161290322,51.0,185
Sri Lanka,Bangladesh,36,81,6,5.538461538461538,25.0,159
South Africa,Bangladesh,105,29,6,6.923076923076923,33.0,148
England,South Africa,200,1,4,10.084033613445378,51.0,202
India,Sri Lanka,134,24,7,8.375,44.0,174
New Zealand,England,113,53,9,10.119402985074627,55.0,201
New Zealand,South Africa,97,36,6,6.928571428571429,27.0,153
New Zealand,Zimbabwe,144,37,9,10.409638554216867,50.0,187
Ireland,Netherlands,117,24,5,7.3125,38.0,151
India,Sri Lanka,46,87,9,8.363636363636363,44.0,155
New Zealand,Australia,60,88,10,11.25,54.0,243
Sri Lanka,India,43,79,7,6.2926829268292686,34.0,135
Ireland,Australia,120,2,3,6.101694915254237,34.0,123
Pakistan,Netherlands,67,72,9,8.375,39.0,175
West Indies,South Africa,184,12,6,10.22222222222222,39.0,205
Zimbabwe,Pakistan,84,57,9,8.0,37.0,175
Pakistan,New Zealand,52,44,4,4.105263157894737,18.0,105
Pakistan,South Africa,92,27,2,5.935483870967742,14.0,119
New Zealand,Sri Lanka,170,1,7,8.571428571428571,47.0,170
Australia,India,95,26,4,6.0638297872340425,33.0,132
Sri Lanka,Bangladesh,166,14,6,9.39622641509434,58.0,198
Sri Lanka,Pakistan,75,75,10,10.0,44.0,150
South Africa,England,87,83,10,14.108108108108109,79.0,229
Pakistan,England,57,79,10,8.341463414634147,42.0,195
Netherlands,United Arab Emirates,28,87,9,5.090909090909091,22.0,157
Sri Lanka,Pakistan,40,84,8,6.666666666666667,32.0,102
Afghanistan,West Indies,52,59,7,5.114754098360656,20.0,123
New Zealand,England,134,23,5,8.288659793814434,55.0,164
England,Australia,64,75,9,8.533333333333333,37.0,162
South Africa,Australia,69,82,9,10.894736842105264,58.0,178
England,Australia,91,49,6,7.690140845070423,29.0,162
England,New Zealand,203,2,3,10.322033898305085,38.0,214
Afghanistan,Zimbabwe,79,63,9,8.31578947368421,54.0,215
Afghanistan,Ireland,78,56,7,7.3125,26.0,152
West Indies,Bangladesh,128,22,8,7.836734693877551,37.0,171
Sri Lanka,New Zealand,106,35,7,7.482352941176471,29.0,158
Pakistan,New Zealand,131,17,6,7.631067961165049,42.0,168
Pakistan,Zimbabwe,124,24,6,7.75,65.0,161
West Indies,England,78,69,10,9.176470588235292,43.0,179
South Africa,Australia,48,86,10,8.470588235294118,47.0,145
India,England,123,33,5,8.482758620689655,46.0,165
Zimbabwe,India,47,66,6,5.222222222222222,22.0,99
Sri Lanka,New Zealand,97,30,8,6.466666666666667,43.0,135
England,South Africa,93,30,4,6.2,19.0,134
New Zealand,Sri Lanka,85,66,10,9.444444444444445,36.0,182
Netherlands,United Arab Emirates,56,67,9,6.339622641509434,34.0,157
West Indies,Afghanistan,74,67,9,8.377358490566039,34.0,112
South Africa,India,103,23,4,6.371134020618556,40.0,126
India,Zimbabwe,87,29,6,5.736263736263736,34.0,138
Australia,Sri Lanka,100,35,8,7.0588235294117645,32.0,168
Sri Lanka,New Zealand,81,37,6,5.855421686746988,31.0,119
England,Australia,54,70,8,6.48,37.0,145
Afghanistan,Sri Lanka,123,12,5,6.833333333333333,47.0,153
Pakistan,New Zealand,94,60,9,9.4,50.0,201
Pakistan,England,22,87,8,4.0,21.0,129
West Indies,New Zealand,132,43,5,10.285714285714286,51.0,180
South Africa,England,86,71,8,10.53061224489796,52.0,222
Afghanistan,Sri Lanka,48,59,7,4.721311475409836,15.0,153
India,Australia,83,66,10,9.22222222222222,50.0,184
Pakistan,India,122,5,2,6.365217391304348,24.0,128
Pakistan,Zimbabwe,45,74,7,5.869565217391305,24.0,136
Sri Lanka,Bangladesh,184,12,6,10.22222222222222,49.0,214
South Africa,Bangladesh,127,29,7,8.373626373626374,32.0,169
Australia,West Indies,84,47,6,6.904109589041096,40.0,169
New Zealand,England,43,75,9,5.733333333333333,32.0,139
Zimbabwe,Pakistan,107,37,8,7.734939759036145,52.0,162
Pakistan,New Zealand,86,42,3,6.615384615384615,24.0,143
Pakistan,Australia,38,85,10,6.514285714285714,37.0,191
New Zealand,South Africa,113,42,6,8.692307692307692,42.0,177
Bangladesh,West Indies,146,23,5,9.030927835051546,42.0,184
India,Pakistan,44,72,6,5.5,29.0,141
Bangladesh,Sri Lanka,77,59,6,7.573770491803279,20.0,155
India,New Zealand,44,90,9,8.8,44.0,163
New Zealand,Pakistan,70,69,8,8.235294117647058,28.0,196
Australia,England,145,5,6,7.565217391304348,39.0,157
United Arab Emirates,Oman,75,61,9,7.627118644067797,42.0,172
Zimbabwe,Afghanistan,53,81,9,8.153846153846153,42.0,120
South Africa,Australia,66,65,8,7.2,41.0,156
India,Sri Lanka,126,28,7,8.217391304347826,43.0,174
Afghanistan,Scotland,68,57,8,6.476190476190476,32.0,132
Afghanistan,India,99,13,4,5.551401869158879,30.0,115
Bangladesh,Sri Lanka,57,88,8,10.6875,51.0,155
Sri Lanka,New Zealand,39,81,8,6.0,30.0,142
Bangladesh,India,102,29,6,6.725274725274725,30.0,139
Sri Lanka,South Africa,77,60,7,7.7,32.0,120
Sri Lanka,India,43,83,10,6.972972972972973,33.0,215
India,Sri Lanka,150,17,7,8.737864077669903,49.0,174
India,Bangladesh,115,27,8,7.419354838709677,32.0,180
Sri Lanka,England,92,24,6,5.75,28.0,128
New Zealand,Sri Lanka,154,10,4,8.4,27.0,162
Ireland,United Arab Emirates,34,70,6,4.08,18.0,134
New Zealand,Australia,63,41,5,4.784810126582278,22.0,117
South Africa,Australia,113,42,7,8.692307692307692,35.0,204
New Zealand,Pakistan,106,34,7,7.395348837209302,31.0,185
South Africa,Sri Lanka,43,81,7,6.615384615384615,38.0,113
Papua New Guinea,Namibia,87,66,10,9.666666666666666,50.0,197
Bangladesh,India,53,74,8,6.913043478260869,33.0,139
England,West Indies,121,27,7,7.806451612903226,30.0,161
South Africa,New Zealand,151,7,5,8.017699115044248,54.0,170
South Africa,England,48,80,7,7.2,32.0,154
West Indies,England,94,63,9,9.894736842105264,43.0,208
Pakistan,New Zealand,68,62,8,7.0344827586206895,34.0,181
Australia,Pakistan,106,52,9,9.352941176470589,50.0,183
Australia,Pakistan,155,13,5,8.69158878504673,54.0,164
West Indies,New Zealand,101,41,8,7.670886075949367,44.0,209
New Zealand,Australia,82,56,6,7.6875,22.0,214
Australia,Pakistan,64,73,8,8.170212765957446,41.0,127
Ireland,Afghanistan,60,76,9,8.181818181818182,40.0,142
United Arab Emirates,Netherlands,33,57,5,3.142857142857143,23.0,80
West Indies,Bangladesh,167,5,6,8.71304347826087,53.0,171
West Indies,New Zealand,90,47,9,7.397260273972603,42.0,209
Sri Lanka,England,40,86,9,7.0588235294117645,37.0,189
Zimbabwe,India,86,51,7,7.478260869565218,34.0,145
West Indies,England,95,60,10,9.5,55.0,179
Pakistan,West Indies,118,8,2,6.321428571428571,40.0,132
New Zealand,Bangladesh,100,28,7,6.521739130434782,38.0,145
Netherlands,Ireland,150,20,7,9.0,40.0,167
Australia,Pakistan,113,39,8,8.37037037037037,29.0,183
South Africa,Sri Lanka,63,67,8,7.132075471698113,43.0,163
Afghanistan,Ireland,59,59,8,5.80327868852459,35.0,139
West Indies,Bangladesh,97,30,7,6.466666666666667,32.0,132
West Indies,New Zealand,61,83,5,9.891891891891891,39.0,180
Sri Lanka,United Arab Emirates,68,66,10,7.555555555555555,37.0,129
Ireland,Afghanistan,51,65,4,5.563636363636364,17.0,71
New Zealand,Pakistan,89,37,6,6.433734939759036,24.0,153
West Indies,England,45,89,10,8.709677419354838,39.0,170
Sri Lanka,Bangladesh,67,77,8,9.348837209302326,53.0,168
Ireland,Netherlands,72,46,7,5.837837837837838,27.0,128
South Africa,England,181,19,6,10.752475247524751,46.0,229
